,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
2013472,1293,3/5/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,21:00.0,19:00.0,19:00.0,19:00.0,0,0,2,2,0,0,0,0
2017282,1293,3/30/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,05:00.0,03:00.0,14:00.0,01:00.0,1,2,3,2,-1,48,47,1
2020035,1295,3/2/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
2020038,1295,3/23/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
2020039,1295,3/24/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
2022155,1291,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,12,Lu,Y,Svågertorp,Stp,Lockarp,Lrp,18:00.0,19:00.0,18:00.0,17:00.0,18:00.0,17:00.0,0,0,1,1,0,-1,-1,0
2025175,1293,3/30/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,34:00.0,30:00.0,38:00.0,28:00.0,1,2,4,4,0,51,51,1
2031539,1293,3/30/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,28:00.0,23:00.0,34:00.0,23:00.0,0,0,4,5,1,49,50,0
2033553,1295,3/10/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,01:00.0,00:00.0,56:00.0,57:00.0,1,3,1,1,0,3,3,2
2034309,1293,3/7/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,43:00.0,39:00.0,34:00.0,39:00.0,0,0,4,4,0,5,5,0
2041279,1293,3/15/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,42:00.0,39:00.0,38:00.0,38:00.0,1,1,4,3,-1,0,-1,0
2042324,1293,3/11/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2042325,1293,3/18/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2042326,1293,3/19/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2042327,1293,3/27/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2042329,1295,3/2/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,37:00.0,33:00.0,34:00.0,33:00.0,0,0,4,4,0,-1,-1,0
2046533,1293,3/16/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,25:00.0,23:00.0,21:00.0,21:00.0,1,2,2,2,0,1,1,1
2047396,1293,3/22/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,56:00.0,52:00.0,52:00.0,52:00.0,0,0,4,4,0,0,0,0
2049821,1295,3/10/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,05:00.0,04:00.0,01:00.0,04:00.0,0,0,1,1,0,3,3,0
2055384,1289,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,46:00.0,45:00.0,47:00.0,45:00.0,0,0,0,1,1,-2,-1,0
2056223,1291,3/17/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,50:00.0,48:00.0,21:00.0,48:00.0,1,0,2,2,0,26,26,-1
2059867,1291,3/10/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,01:00.0,02:00.0,01:00.0,0,0,3,2,-1,-1,-2,0
2061927,1293,3/18/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,51:00.0,51:00.0,50:00.0,50:00.0,1,1,1,0,-1,0,-1,0
2061928,1293,3/15/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,51:00.0,51:00.0,50:00.0,50:00.0,1,1,1,0,-1,0,-1,0
2061929,1293,3/19/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,51:00.0,51:00.0,50:00.0,49:00.0,1,2,1,0,-1,0,-1,1
2065977,1293,3/29/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,21:00.0,18:00.0,14:00.0,17:00.0,1,1,3,3,0,3,3,0
2068197,1295,3/16/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,49:00.0,,47:00.0,46:00.0,0,,3,,,0,-1,
2068450,1295,3/3/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,02:00.0,01:00.0,00:00.0,01:00.0,0,0,1,1,0,1,1,0
2069726,1293,3/16/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,14:00.0,11:00.0,09:00.0,09:00.0,1,2,4,3,-1,1,0,1
2071988,1293,3/5/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2073062,1293,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,01:00.0,01:00.0,01:00.0,01:00.0,0,0,1,0,-1,0,-1,0
2073063,1293,3/20/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,01:00.0,01:00.0,01:00.0,01:00.0,0,0,1,0,-1,0,-1,0
2073064,1293,3/9/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,01:00.0,01:00.0,01:00.0,01:00.0,0,0,1,0,-1,0,-1,0
2077080,1295,3/3/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2077886,1291,3/3/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Lu,Y,Skabersjö,Saö,Svedala,Sea,24:00.0,28:00.0,26:00.0,24:00.0,24:00.0,24:00.0,0,0,4,2,-2,0,-2,0
2081950,1293,3/5/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,50:00.0,,47:00.0,47:00.0,0,,3,,,0,0,
2082953,1291,3/24/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
2085079,1295,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,12,Lu,Y,Svågertorp,Stp,Lockarp,Lrp,18:00.0,19:00.0,19:00.0,17:00.0,18:00.0,17:00.0,0,0,1,2,1,-1,0,0
2085990,1293,3/9/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,00:00.0,00:00.0,00:00.0,0,0,1,1,0,0,0,0
2085991,1293,3/1/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,01:00.0,00:00.0,00:00.0,00:00.0,0,0,1,1,0,0,0,0
2087547,1295,3/17/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,2,Lu,Y,Flackarp,Flp,Hjärup,Hjp,54:00.0,56:00.0,56:00.0,55:00.0,54:00.0,55:00.0,0,0,2,1,-1,1,0,0
2088313,1289,3/10/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2089646,1291,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
2096517,1289,3/24/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,55:00.0,51:00.0,52:00.0,51:00.0,0,0,4,4,0,-1,-1,0
2098913,1293,3/25/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,46:00.0,45:00.0,47:00.0,45:00.0,0,0,0,1,1,-2,-1,0
2099018,1293,3/28/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,01:00.0,59:00.0,58:00.0,59:00.0,0,0,2,2,0,1,1,0
2101730,1291,3/31/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,01:00.0,02:00.0,01:00.0,0,0,3,2,-1,-1,-2,0
2110489,1293,3/12/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2110490,1293,3/21/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2110491,1293,3/11/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2110492,1293,3/26/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2112512,1293,3/20/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,13:00.0,11:00.0,05:00.0,03:00.0,2,8,2,2,0,4,4,6
2112628,1293,3/29/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,59:00.0,58:00.0,56:00.0,57:00.0,1,1,1,1,0,1,1,0
2112629,1293,3/22/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,3,Lu,Y,Hjärup,Hjp,Åkarps norra,Åkn,57:00.0,58:00.0,59:00.0,58:00.0,56:00.0,57:00.0,1,1,1,1,0,1,1,0
2115662,1293,3/20/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,48:00.0,48:00.0,47:00.0,48:00.0,0,0,0,0,0,1,1,0
2116259,1289,3/24/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,09:00.0,07:00.0,05:00.0,03:00.0,2,4,2,2,0,0,0,2
2116263,1289,3/31/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,09:00.0,07:00.0,05:00.0,03:00.0,2,4,2,2,0,0,0,2
2116848,1293,3/18/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
2116849,1293,3/19/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
2116850,1293,3/21/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
2116851,1293,3/15/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,20:00.0,1,1,2,2,0,-1,-1,0
2116852,1293,3/26/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,14,Lu,Y,Oxie,Ox,Skabersjö,Saö,22:00.0,24:00.0,23:00.0,21:00.0,21:00.0,21:00.0,1,0,2,2,0,-1,-1,-1
2117197,1293,3/2/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2117198,1293,3/18/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2119492,1293,3/18/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,43:00.0,39:00.0,38:00.0,38:00.0,1,1,4,4,0,0,0,0
2120332,1295,3/10/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,04:00.0,02:00.0,00:00.0,02:00.0,0,0,1,2,1,2,3,0
2124972,1293,3/25/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2125515,1291,3/3/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,50:00.0,,47:00.0,47:00.0,0,,3,,,0,0,
2126625,1293,3/22/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,59:00.0,59:00.0,58:00.0,59:00.0,0,0,0,0,0,1,1,0
2139330,1291,3/31/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,50:00.0,,47:00.0,47:00.0,0,,3,,,0,0,
2139331,1291,3/24/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,21,Lu,Y,Marsvinsholm,Mrh,Svarte,Ste,47:00.0,50:00.0,49:00.0,,47:00.0,46:00.0,0,,3,,,0,-1,
2145875,1291,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,59:00.0,59:00.0,58:00.0,59:00.0,0,0,0,0,0,1,1,0
2146225,1289,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,00:00.0,00:00.0,58:00.0,00:00.0,0,0,0,0,0,2,2,0
2151962,1293,3/25/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
2156774,1291,3/31/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,51:00.0,51:00.0,50:00.0,50:00.0,1,1,1,0,-1,0,-1,0
2158213,1293,3/14/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,47:00.0,0,0,0,0,0,0,0,0
2165237,1291,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,00:00.0,59:00.0,00:00.0,59:00.0,0,0,1,1,0,-1,-1,0
2165509,1289,3/17/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Lu,Y,Skabersjö,Saö,Svedala,Sea,24:00.0,28:00.0,26:00.0,23:00.0,24:00.0,23:00.0,0,0,4,3,-1,-1,-2,0
2166315,1295,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,46:00.0,46:00.0,47:00.0,46:00.0,0,0,0,0,0,-1,-1,0
2169500,1295,3/16/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,50:00.0,50:00.0,50:00.0,49:00.0,1,1,1,0,-1,-1,-2,0
2172675,1289,3/3/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,00:00.0,59:00.0,00:00.0,59:00.0,0,0,1,1,0,-1,-1,0
2172677,1289,3/10/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,00:00.0,59:00.0,00:00.0,59:00.0,0,0,1,1,0,-1,-1,0
2184153,1293,3/28/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,9,Lu,Y,Malmö c,M,Triangeln,Tri,07:00.0,09:00.0,23:00.0,22:00.0,05:00.0,20:00.0,2,2,2,1,-1,15,14,0
2187547,1293,3/16/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,48:00.0,48:00.0,47:00.0,48:00.0,0,0,0,0,0,1,1,0
2191468,1289,3/17/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,41:00.0,38:00.0,38:00.0,37:00.0,1,1,4,3,-1,-1,-2,0
2200339,1289,3/3/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Lu,Y,Lemmeströ,Lmm,Skurup,Srp,34:00.0,38:00.0,37:00.0,32:00.0,34:00.0,32:00.0,0,0,4,5,1,-2,-1,0
2203976,1293,3/7/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,51:00.0,51:00.0,47:00.0,51:00.0,0,0,0,0,0,4,4,0
2210599,1293,3/22/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,12:00.0,10:00.0,09:00.0,09:00.0,1,1,4,2,-2,0,-2,0
2210600,1293,3/21/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,12:00.0,10:00.0,09:00.0,09:00.0,1,1,4,2,-2,0,-2,0
2210601,1293,3/5/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,12:00.0,10:00.0,09:00.0,09:00.0,1,1,4,2,-2,0,-2,0
2210602,1293,3/25/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,12:00.0,10:00.0,09:00.0,09:00.0,1,1,4,2,-2,0,-2,0
2217655,1291,3/24/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,46:00.0,45:00.0,47:00.0,45:00.0,0,0,0,1,1,-2,-1,0
2219714,1289,3/31/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,52:00.0,52:00.0,50:00.0,50:00.0,1,2,1,0,-1,1,0,1
2221105,1293,3/4/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2221107,1293,3/2/2019,RST,PENDEL,Passage,Passage,0,-,0,-,7,Lu,Y,Arlöv,Al,Malmö Godsbangård,Mgb,01:00.0,02:00.0,00:00.0,00:00.0,01:00.0,00:00.0,0,0,1,0,-1,-1,-2,0
2227959,1291,3/3/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,18,Lu,Y,Skurup,Srp,Rydsgård,Rdg,39:00.0,43:00.0,42:00.0,39:00.0,38:00.0,38:00.0,1,1,4,3,-1,0,-1,0
2231411,1293,3/5/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,00:00.0,58:00.0,58:00.0,58:00.0,0,0,2,2,0,0,0,0
2250415,1289,3/24/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,32:00.0,28:00.0,28:00.0,26:00.0,1,2,5,4,-1,-1,-2,1
2253974,1293,3/27/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2253975,1293,3/15/2019,RST,PENDEL,Passage,Passage,0,-,0,-,20,Lu,Y,Rynge,Rye,Marsvinsholm,Mrh,47:00.0,47:00.0,47:00.0,46:00.0,47:00.0,46:00.0,0,0,0,1,1,-1,0,0
2265317,1289,3/24/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
2266603,1293,3/16/2019,RST,PENDEL,Första,Passage,1,Påstigande av resande,0,-,1,Lu,Y,Lund c,Lu,Flackarp,Flp,53:00.0,54:00.0,55:00.0,53:00.0,,,,,1,2,1,0,1,
2269205,1291,3/3/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,22,Lu,Y,Svarte,Ste,Vilhelmsborg,Vlb,51:00.0,52:00.0,52:00.0,52:00.0,50:00.0,50:00.0,1,2,1,0,-1,1,0,1
